id,objek,nama,letak,kecamatan,kabupaten,kode_pos,potensi,image_url
43,Pantai,Seraya Kecil,Pulau Seraya,,Manggarai Barat,,"Taman Laut, Diving, Snorkeling",https://i.imgur.com/3fLKou7.jpeg
44,Pantai,Batu Gosok,Batu Cermin,,Manggarai Barat,,"Pasir Putih, Taman Laut, Swimming, Diving",https://i.imgur.com/mftjPNF.jpeg
45,Pantai,Pantai Manjerite,Batu Cermin,,Manggarai Barat,,"Pasir Putih, Snorkeling",https://i.imgur.com/5U9QgRi.jpeg
46,Pantai,Pantai Pede,Desa Gorontalo,,Manggarai Barat,,"Pasir Putih, Snorkeling",https://i.imgur.com/Npqubo7.jpeg
47,Pantai,Pantai batu Biru,Nanga Baras,Kota Komba,Manggarai Timur,,"Berenang, jemur, voli pantai, mancing",https://i.imgur.com/eHCAvTM.jpeg
48,Pantai,Pantai Enabhara,Waebela,Aimere,Ngada,,"Pantai pasir putih, Agrowisata, Kawasan trekking",https://i.imgur.com/HKaqxC9.jpeg
49,Pantai,Pantai Oesosole,Faifua,Rote Timur,Rote Ndao,,"Panorama alam, Pantai berpasir putih, Ekowisata budidaya rumput laut ",https://i.imgur.com/A8qR7hi.jpeg
50,Pantai,Pantai Nusakdale,Nusakdale,Pantai Baru,Rote Ndao,,"Panorama alam, Olahraga air",https://i.imgur.com/znzyNXA.jpeg
51,Pantai,Pantai dombo,Mokdale,Lobalain,Rote Ndao,,"Panorama alam dan pantai, Olahraga air, Lokasi memancing",https://i.imgur.com/jAlTodk.jpeg
52,Pantai,Pantai Oeseli,Oeseli,Rote Barat Daya,Rote Ndao,,"Panorama alam dan pantai, Olahraga air, Lokasi memancing",https://i.imgur.com/J7HcbxA.jpeg
53,Pantai,Pantai Bo'a,Bo'a,Rote Barat,Rote Ndao,,"Panorama alam dan pantai, Olahraga air, Lokasi memancing",https://i.imgur.com/rXulw2P.jpeg
54,Pantai,Pantai Tongga,Mboeain,Rote Barat,Rote Ndao,,"Panorama alam dan pantai, Olahraga air, Lokasi memancing",https://i.imgur.com/m4tBQGD.jpeg
55,Pantai,Pantai Pulau Ndao,Olifatula,Ndao Nuse,Rote Ndao,,"Panorama alam dan pantai, Olahraga air, Lokasi memancing",https://i.imgur.com/Q176Xdz.jpeg
56,Pantai,Pantai Pulau Nuse,Nuse,Ndao Nuse,Rote Ndao,,"Panorama alam dan pantai, Olahraga air, Lokasi memancing",https://i.imgur.com/0xW8Lcs.jpeg
57,Pantai,Pantai Napae Sabu,,Sabu Barat,Sabu Raijua,,Pasir putih,https://i.imgur.com/7VD4xQB.jpeg
58,Pantai,Pantai Namo,,Raijua,Sabu Raijua,,Pasir putih,https://i.imgur.com/i7OCHAg.jpeg
59,Pantai,Taman laut dan Pantai Wairterang,Wairterang,Waigete,Sikka,,Wisata alam,https://i.imgur.com/8gKuyZh.jpeg
60,Pantai,Pantai Pasir Putih Doreng,Nenbura,Mapitara,Sikka,,Wisata alam,https://i.imgur.com/aRCwv6R.jpeg
61,Pantai,Panorama Pantai Ipir,Ipir,Bola,Sikka,,"Pantai dengan ombak besar, Batu karang, Sunset, Hamparan garis pantai",https://i.imgur.com/0O4brFd.jpeg
62,Pantai,Pantai Mananga Aba,Karuni,Loura,Sumba Barat,,,https://i.imgur.com/m1IwqC8.jpeg
63,Pantai,Pantai Watu Malandong,Panenggo Ende,Kodi Bllaghar,Sumba Barat,,,https://i.imgur.com/4jAyogy.jpeg
64,Pantai,Pantai Pero,Pero Batang,Kodi,Sumba Barat,,,https://i.imgur.com/1yOqO29.jpeg
